model,dataset,horizon,mode,well,expected,status,raw_status,summary_status,in_forecasting_summary_csv,file_path,reason,n_train,n_test,n_cv_folds,has_test_predictions,has_test_targets,cv_fold_count,mae,rmse,r2,r2_prod,mase
chronos,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/chronos/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.27606339204799757,1.1384804539499649,0.4694550149209443,-0.036865859224816555,0.15899976247842273
deeponet,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/deeponet/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.6533688231145292,1.319505177621481,0.28732240069519455,-0.2717431050181558,0.02783043714932143
lstm,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/lstm/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.5009742820358909,1.2084962361796363,0.4021922853087423,-0.0569282036269283,0.0219046290860478
patchtst,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/patchtst/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.9640480109308747,1.9113331244576133,-0.49535285370980553,-0.4646232929115648,0.04318393698157531
tcn,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/tcn/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.5180754480961648,1.178706798038851,0.431300969936424,-0.1719148183050423,0.019775951079374587
timesfm,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/timesfm/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.31266590900981595,1.0736738807503061,0.5281371000185522,0.1774094979252846,0.17884979618575175
tirex,ganymede,7,multi_well,,True,ok,ok,ok,True,/app/results/tirex/ganymede_h7_multi_well.json,,38896.0,9739.0,3.0,True,True,3.0,0.27260659104931606,1.0740359070531624,0.5278188365601989,0.16153127944980894,0.1572623072263178
chronos,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/chronos/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,1.3969838619232178e-08,1.3969838619232178e-08,0.0,0.0,4.060618299344939e-09
deeponet,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/deeponet/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,0.4317487989153181,0.5435017502128879,0.0,0.0,0.005617622763273522
lstm,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/lstm/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,0.06228181405850618,0.06511922805626845,0.0,0.0,0.0008103687544053984
patchtst,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/patchtst/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,8.492786407470703,8.492787220183388,0.0,0.0,0.11050238093559799
tcn,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/tcn/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,0.1829991603186135,0.22608548295697667,0.0,0.0,0.002381061050426724
timesfm,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/timesfm/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,0.0025679848955145906,0.0030040059167645004,0.0,0.0,0.000746437145294745
tirex,ganymede,7,per_well,49_22-Z01Z,True,ok,ok,ok,True,/app/results/tirex/ganymede_h7_per_well_49_22-Z01Z.json,,6083.0,1523.0,3.0,True,True,3.0,5.117414069167135e-09,6.278788186130562e-09,0.0,0.0,1.4874806918655327e-09
chronos,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/chronos/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,1.1270775593005675,2.4367640833399284,0.313540787634608,-0.681379748565812,0.24303809627773448
deeponet,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/deeponet/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,9.771750965839411,14.453138111158413,-23.149718727621458,-43.77744691224838,0.11148580665433135
lstm,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/lstm/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,1.7367110840543643,2.77218285168152,0.11155301712547283,-0.8802399306484456,0.019814118964777243
patchtst,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,3.3630062674348946,3.83257670901297,-0.6981243262868715,-0.6684001071123242,0.03836850405001538
tcn,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/tcn/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,2.0942992317823026,3.1731142806160633,-0.16401666661636072,-2.7926634693101158,0.023893838478592423
timesfm,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/timesfm/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,1.2768450771588615,2.350535409004382,0.3612640445966837,-0.5029547995198254,0.27533331156629876
tirex,ganymede,7,per_well,49_22-Z02Z,True,ok,ok,ok,True,/app/results/tirex/ganymede_h7_per_well_49_22-Z02Z.json,,6083.0,1523.0,3.0,True,True,3.0,1.1102541484301631,2.3052462042366018,0.3856407530962317,-0.42473042939933525,0.23941036922638714
chronos,ganymede,7,per_well,49_22-Z04,True,ok,ok,ok,True,/app/results/chronos/ganymede_h7_per_well_49_22-Z04.json,,6083.0,1523.0,3.0,True,True,3.0,0.2132129059535544,0.6062134756302894,0.3802072671751967,-1.0612607418263225,0.1942312175320281
deeponet,ganymede,7,per_well,49_22-Z04,True,ok,ok,ok,True,/app/results/deeponet/ganymede_h7_per_well_49_22-Z04.json,,6083.0,1523.0,3.0,True,True,3.0,3.0967378274840494,3.942354941450064,-25.212398048608048,-42.79312936782765,0.8653501060495394
lstm,ganymede,7,per_well,49_22-Z04,True,ok,ok,ok,True,/app/results/lstm/ganymede_h7_per_well_49_22-Z04.json,,6083.0,1523.0,3.0,True,True,3.0,2.1912880841076188,3.015977012241284,-14.340918524679822,-35.3689392273528,0.6123319058973155
